tblCodeID,Code,Description,tblCodeTypeID,CodeType,Created,Modified,Deprecated
136763,27.2.a.1,Norwegian Sea - NEAFC Regulatory Area,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136764,27.2.a.2,Norwegian Sea - Non-NEAFC Regulatory Area,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136826,27.2.b,Spitzbergen and Bear Island,358,ICES_Area,17/01/2013,22/12/2021,FALSE
136765,27.2.b.1,Spitsbergen and Bear Island - NEAFC Regulatory Area,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136766,27.2.b.2,Spitsbergen and Bear Island - Non-NEAFC Regulatory Area,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136827,27.3,Skagerrak Kattegat Sound Belt Sea and Baltic Sea ( the Sound and Belt together known also as the Transition Area),358,ICES_Area,17/01/2013,22/12/2021,FALSE
136767,27.3.a,Skagerrak Kattegat,358,ICES_Area,08/01/2013,24/01/2022,FALSE
156322,27.3.a.20,Skagerrak,358,ICES_Area,26/04/2016,24/01/2022,FALSE
156323,27.3.a.21,Kattegat,358,ICES_Area,26/04/2016,24/01/2022,FALSE
136750,27.3.b.23,Sound,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136820,27.3.bc,Sound and Belt Sea or the Transition Area,358,ICES_Area,16/01/2013,22/12/2021,FALSE
136749,27.3.c.22,Belt Sea,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136821,27.3.d,Baltic Sea,358,ICES_Area,17/01/2013,22/12/2021,FALSE
136751,27.3.d.24,Baltic West of Bornholm,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136752,27.3.d.25,Southern Central Baltic - West,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136753,27.3.d.26,Southern Central Baltic - East,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136754,27.3.d.27,West of Gotland,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136822,27.3.d.28,East of Gotland or Gulf of Riga,358,ICES_Area,17/01/2013,22/12/2021,FALSE
136759,27.3.d.28.1,Gulf of Riga,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136760,27.3.d.28.2,East of Gotland (open sea),358,ICES_Area,08/01/2013,22/12/2021,FALSE
136755,27.3.d.29,Archipelago Sea,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136756,27.3.d.30,Bothnian Sea,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136757,27.3.d.31,Bothnian Bay,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136758,27.3.d.32,Gulf of Finland,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136828,27.4,North Sea,358,ICES_Area,17/01/2013,24/01/2022,FALSE
136768,27.4.a,Northern North Sea,358,ICES_Area,08/01/2013,24/01/2022,FALSE
136769,27.4.b,Central North Sea,358,ICES_Area,08/01/2013,24/01/2022,FALSE
136770,27.4.c,Southern North Sea,358,ICES_Area,08/01/2013,24/01/2022,FALSE
136829,27.5,Iceland and Faroes Grounds,358,ICES_Area,17/01/2013,22/12/2021,FALSE
136830,27.5.a,Iceland Grounds,358,ICES_Area,17/01/2013,22/12/2021,FALSE
136774,27.5.a.1,Northern Reykjanes ridge,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136775,27.5.a.2,Icelandic Shelf,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136831,27.5.b,Faroes Grounds,358,ICES_Area,17/01/2013,22/12/2021,FALSE
136832,27.5.b.1,Faroe Plateau,358,ICES_Area,17/01/2013,22/12/2021,FALSE
136776,27.5.b.1.a,Faroe Plateau - Part of NEAFC Regulatory Area,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136777,27.5.b.1.b,Faroe Plateau - Part of Non-NEAFC Regulatory Area,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136778,27.5.b.2,Faroe Bank,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136835,27.6,Rockall Northwest Coast of Scotland and North Ireland (the Northwest Coast of Scotland and North Ireland also known as the West of Scotland),358,ICES_Area,17/01/2013,22/12/2021,FALSE
136779,27.6.a,Northwest Coast of Scotland and North Ireland or as the West of Scotland,358,ICES_Area,08/01/2013,24/01/2022,FALSE
136836,27.6.b,Rockall,358,ICES_Area,17/01/2013,22/12/2021,FALSE
136780,27.6.b.1,Rockall - Part of NEAFC area I,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136781,27.6.b.2,Rockall Non-NEAFC area,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136837,27.7,Irish Sea West of Ireland Porcupine Bank Eastern and Western English Channel Bristol Channel Celtic Sea North and South and Southwest of Ireland - East and West,358,ICES_Area,17/01/2013,22/12/2021,FALSE
136782,27.7.a,Irish Sea,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136783,27.7.b,West of Ireland,358,ICES_Area,08/01/2013,24/01/2022,FALSE
136838,27.7.c,Porcupine Bank,358,ICES_Area,17/01/2013,24/01/2022,FALSE
136784,27.7.c.1,Porcupine Bank - NEAFC Regulatory Area,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136785,27.7.c.2,Porcupine Bank Non-NEAFC Regulatory Area,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136786,27.7.d,Eastern English Channel,358,ICES_Area,08/01/2013,24/01/2022,FALSE
136787,27.7.e,Western English Channel,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136788,27.7.f,Bristol Channel,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136789,27.7.g,Celtic Sea North,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136814,27.7.h,Celtic Sea South,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136839,27.7.j,Southwest of Ireland - East,358,ICES_Area,17/01/2013,22/12/2021,FALSE
136797,27.7.j.1,Southwest of Ireland - East - Parts of the NEAFC Regulatory,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136798,27.7.j.2,Southwest of Ireland - East Non-NEAFC Regulatory Area,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136840,27.7.k,Southwest of Ireland - West,358,ICES_Area,17/01/2013,22/12/2021,FALSE
136799,27.7.k.1,Southwest of Ireland - West - Part of the NEAFC Regulatory Area,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136800,27.7.k.2,Southwest of Ireland - West - Part of the Non-NEAFC Area I,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136841,27.8,Bay of Biscay,358,ICES_Area,17/01/2013,21/01/2022,FALSE
136790,27.8.a,Bay of Biscay - North,358,ICES_Area,08/01/2013,21/01/2022,FALSE
136791,27.8.b,Bay of Biscay - Central,358,ICES_Area,08/01/2013,21/01/2022,FALSE
136792,27.8.c,Bay of Biscay - South,358,ICES_Area,08/01/2013,21/01/2022,FALSE
136842,27.8.d,Bay of Biscay - Offshore,358,ICES_Area,17/01/2013,21/01/2022,FALSE
136793,27.8.d.1,Bay of Biscay - Offshore - Parts in NEAFC Regulatory Area,358,ICES_Area,08/01/2013,21/01/2022,FALSE
136794,27.8.d.2,Bay of Biscay - Offshore Non-NEAFC Regulatory Area,358,ICES_Area,08/01/2013,21/01/2022,FALSE
136843,27.8.e,West of Bay of Biscay,358,ICES_Area,17/01/2013,22/12/2021,FALSE
136795,27.8.e.1,West of Bay of Biscay - Parts in NEAFC Regulatory Area,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136796,27.8.e.2,West of Bay of Biscay Non-NEAFC Regulatory Area,358,ICES_Area,08/01/2013,22/12/2021,FALSE
136844,27.9,Portuguese Waters,358,ICES_Area,17/01/2013,24/01/2022,FALSE
136771,27.9.a,Portugese Waters - East,358,ICES_Area,08/01/2013,21/01/2022,FALSE
136845,27.9.b,Portuguese Waters - West,358,ICES_Area,17/01/2013,21/01/2022,FALSE
136772,27.9.b.1,Portugese Waters - West Parts in NEAFC regulatory Area,358,ICES_Area,08/01/2013,21/01/2022,FALSE
